,uid,method,c,epsilon,meanql
301,36,ESSA,12,1.0000000000000002,0.40765279263808085
302,38,OPT-SEM-IND,12,1.0000000000000002,0.156738516645887
303,38,ESSA,12,1.0000000000000002,0.3377882400268776
304,43,OPT-SEM-IND,12,1.0000000000000002,0.11992994984773586
305,43,ESSA,12,1.0000000000000002,0.3955967237727841
306,44,OPT-SEM-IND,12,1.0000000000000002,0.05785402962253498
307,44,ESSA,12,1.0000000000000002,0.4045020260340769
308,52,OPT-SEM-IND,12,1.0000000000000002,0.13320007824865768
309,52,ESSA,12,1.0000000000000002,0.5528547146973295
310,62,OPT-SEM-IND,12,1.0000000000000002,0.18542687977378558
311,62,ESSA,12,1.0000000000000002,0.5578175523427472
312,65,OPT-SEM-IND,12,1.0000000000000002,0.19758439796500304
313,65,ESSA,12,1.0000000000000002,0.3985685241617247
314,67,OPT-SEM-IND,12,1.0000000000000002,0.09351402857675484
315,67,ESSA,12,1.0000000000000002,0.35799595022715647
316,71,OPT-SEM-IND,12,1.0000000000000002,0.05144927193813739
317,71,ESSA,12,1.0000000000000002,0.33782238101500867
318,84,OPT-SEM-IND,12,1.0000000000000002,0.11769250428283104
319,84,ESSA,12,1.0000000000000002,0.3709254526887453
320,85,OPT-SEM-IND,12,1.0000000000000002,0.11063286821637933
321,85,ESSA,12,1.0000000000000002,0.3525090343285878
322,128,OPT-SEM-IND,12,1.0000000000000002,0.13700601263600476
323,128,ESSA,12,1.0000000000000002,0.41448740955545704
324,4,OPT-SEM-IND,12,1.4000000000000001,0.17715823698696387
325,4,ESSA,12,1.4000000000000001,0.39747587451827254
326,7,OPT-SEM-IND,12,1.4000000000000001,0.12341688130695679
327,7,ESSA,12,1.4000000000000001,0.4191756916128245
328,14,OPT-SEM-IND,12,1.4000000000000001,0.11906076888530914
329,14,ESSA,12,1.4000000000000001,0.38455382197362037
330,22,OPT-SEM-IND,12,1.4000000000000001,0.05941672525019696
331,22,ESSA,12,1.4000000000000001,0.4080478779486403
332,25,OPT-SEM-IND,12,1.4000000000000001,0.16668877463330303
333,25,ESSA,12,1.4000000000000001,0.5281258652672829
334,35,OPT-SEM-IND,12,1.4000000000000001,0.14235483338764712
335,35,ESSA,12,1.4000000000000001,0.36623933354770527
336,36,OPT-SEM-IND,12,1.4000000000000001,0.1398800188564041
337,36,ESSA,12,1.4000000000000001,0.40665995259608256
338,38,OPT-SEM-IND,12,1.4000000000000001,0.1370078080346184
339,38,ESSA,12,1.4000000000000001,0.3385555453493108
340,43,OPT-SEM-IND,12,1.4000000000000001,0.11992994984773586
