,uid,method,ndim,mean_ql
312,1255,OPT-SEM-IND,4,0.5074789263069446
313,1255,USS,4,1.6213161560652498
314,1255,ESSA,4,0.8201929201605642
315,1810,PL,4,1.1645106322578012
316,1810,OPT-LOC-DP,4,0.43109823745435183
317,1810,OPT-SEM-IND,4,0.34173246712126165
318,1810,USS,4,1.520623506748259
319,1810,ESSA,4,0.8734826930708154
320,3480,PL,4,1.2095325038482996
321,3480,OPT-LOC-DP,4,0.679167807324269
322,3480,OPT-SEM-IND,4,0.4385311517210721
323,3480,USS,4,1.7236692173897805
324,3480,ESSA,4,0.8735372541341485
325,4584,PL,4,1.1771302508433814
326,4584,OPT-LOC-DP,4,0.6927806667901354
327,4584,OPT-SEM-IND,4,0.4410094499671927
328,4584,USS,4,1.396799946031412
329,4584,ESSA,4,0.8213481893756471
330,4907,PL,4,1.316733949950561
331,4907,OPT-LOC-DP,4,0.9411208862047289
332,4907,OPT-SEM-IND,4,0.5323509977904924
333,4907,USS,4,2.207747105232786
334,4907,ESSA,4,0.9101264639858668
335,4985,PL,4,1.2407986510257225
336,4985,OPT-LOC-DP,4,0.6643748369029769
337,4985,OPT-SEM-IND,4,0.45549821572783217
338,4985,USS,4,1.9849945343155246
339,4985,ESSA,4,0.8787196538064757
340,6798,PL,4,1.2349562260442764
341,6798,OPT-LOC-DP,4,0.9975851203453491
342,6798,OPT-SEM-IND,4,0.5121290733072419
343,6798,USS,4,1.5550074119181734
344,6798,ESSA,4,0.8666647870108943
345,10492,PL,4,1.253914125286934
346,10492,OPT-LOC-DP,4,0.925955482885922
347,10492,OPT-SEM-IND,4,0.5058663211831571
348,10492,USS,4,1.9557991485290624
349,10492,ESSA,4,0.8687747513905948
350,15584,PL,4,1.1756402388587452
351,15584,OPT-LOC-DP,4,0.4166883888610171
352,15584,OPT-SEM-IND,4,0.3617533585537908
353,15584,USS,4,1.6370388169794263
354,15584,ESSA,4,0.8112122704395872
355,26352,PL,4,1.2121382354370416
356,26352,OPT-LOC-DP,4,0.9344616829638693
357,26352,OPT-SEM-IND,4,0.49532835801709196
358,26352,USS,4,1.5158349014836194
359,26352,ESSA,4,0.8248968286875069
360,31486,PL,4,1.2819673831110947
361,31486,OPT-LOC-DP,4,1.0153354859269472
362,31486,OPT-SEM-IND,4,0.5224054829010423
363,31486,USS,4,1.9830097786739551
